time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-04T23:58:05.286Z,56.3016,-148.7488,10,3.6,mb,,233,2.568,0.58,us,us70004ag6,2019-09-26T14:30:14.040Z,"277km SE of Kodiak, Alaska",earthquake,7.8,2,0.224,5,reviewed,us,us
2019-07-04T23:57:27.800Z,41.3555,-122.6223333,13.1,1.3,md,12,105,0.1519,0.11,nc,nc73206661,2019-07-05T20:15:04.068Z,"20km SW of Edgewood, CA",earthquake,0.47,0.98,0.148,9,reviewed,nc,nc
2019-07-04T23:56:55.810Z,35.745,-117.5345,7.57,2.45,ml,24,80,0.1688,0.19,ci,ci38445855,2019-07-05T00:07:54.160Z,"12km WSW of Searles Valley, CA",earthquake,0.37,2.18,0.085,24,automatic,ci,ci
2019-07-04T23:55:53.430Z,35.6281667,-117.5721667,11.99,2.23,ml,15,118,0.09878,0.15,ci,ci38445847,2019-07-04T23:59:42.848Z,"9km E of Ridgecrest, CA",earthquake,0.33,0.78,0.14,12,automatic,ci,ci
2019-07-04T23:55:22.699Z,56.4675,-148.8486,10,3.1,ml,,210,2.426,0.68,us,us60004uzr,2019-09-26T14:29:57.040Z,"260km ESE of Kodiak, Alaska",earthquake,8.2,2,0.045,64,reviewed,us,us
2019-07-04T23:54:36.390Z,35.656,-117.5233333,1.71,3.39,ml,57,54,0.08538,0.12,ci,ci38445839,2019-09-26T14:30:14.040Z,"14km ENE of Ridgecrest, CA",earthquake,0.1,0.25,0.14,39,reviewed,ci,ci
2019-07-04T23:54:18.920Z,35.588,-117.5841667,8.63,1.48,ml,15,92,0.09942,0.15,ci,ci38445831,2019-07-04T23:58:07.836Z,"9km ESE of Ridgecrest, CA",earthquake,0.34,0.96,0.155,19,automatic,ci,ci
2019-07-04T23:51:28.552Z,62.1654,-150.0631,30,1,ml,,,,0.49,ak,ak0198icf5vj,2019-07-24T19:02:29.759Z,"11km W of Y, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2019-07-04T23:50:57.360Z,35.774,-117.5983333,3.77,2.49,ml,29,60,0.04166,0.14,ci,ci38445823,2019-07-18T20:37:59.740Z,"18km W of Searles Valley, CA",earthquake,0.16,0.47,0.166,123,reviewed,ci,ci
2019-07-04T23:50:01.340Z,35.6086667,-117.6085,1.54,2.14,ml,23,104,0.1213,0.22,ci,ci38445815,2019-07-24T20:47:30.450Z,"6km ESE of Ridgecrest, CA",earthquake,0.36,0.66,0.126,25,automatic,ci,ci
