,繼續營業單位稅前淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,淨利成長率
2010-01-01,737512.0,0.13,-744686.0,
2011-01-01,1823124.0,0.92,3305139.0,1.4719923201249605
2012-01-01,2268050.0,1.0,-506650.0,0.24404593434127353
2013-01-01,3095358.0,1.41,1164512.0,0.3647662088578294
2014-01-01,3408358.0,1.3,-10974245.0,0.10111915972239727
2015-01-01,3737796.0,1.26,3497353.0,0.09665592640209741
2016-01-01,3840264.0,1.2,-7542589.0,0.027414016174237332
2017-01-01,3310787.0,1.01,-492586.0,-0.13787515649965731
2018-01-01,3386571.0,1.05,-37330743.0,0.02289002584581845
2019-01-01,3476584.0,1.07,48125534.0,0.026579392547801284
