,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,11240966.0,1466014.0,757585.0,390069.0,708429.0,388902.0,2.77,169852.0,3112975.0,7332299.0,13.04170833716604,6.739500857844424,3.4700665405446474,12.530425075691259,5.3198730711881765,,
2011-01-01,12446855.0,1817393.0,826819.0,1197357.0,990574.0,933991.0,6.21,532926.0,4560522.0,8395991.0,14.601222557826857,6.642794505117959,9.619755351853943,26.254823460998544,14.261056258874028,0.1072762785689414,2.069603070226037
2012-01-01,10116695.0,1596290.0,850356.0,345554.0,745934.0,214917.0,1.43,-33132.0,4215939.0,6937710.0,15.778769647597363,8.405472340522275,3.415680713909038,8.196370962672846,4.9808077881606465,-0.1872087366648041,-0.7114026977751832
2013-01-01,6805313.0,1179748.0,386783.0,1213341.0,792965.0,999013.0,6.15,270752.0,4855957.0,7134991.0,17.33569051122263,5.683544606985748,17.82931953313536,24.986650417209212,17.005501478558276,-0.32731855610948046,2.5112920122470004
2014-01-01,6576544.0,1174376.0,513504.0,727406.0,660872.0,527319.0,3.0,406817.0,4809967.0,7020633.0,17.857038590481565,7.808113197448387,11.060611774208459,15.122889616498409,10.36097457309049,-0.03361623484474552,-0.40049334853103946
2015-01-01,7192950.0,1454909.0,744773.0,1002745.0,710136.0,776092.0,4.16,71617.0,5268702.0,7636708.0,20.22687492614296,10.354207939718753,13.940664122508844,19.03210695917135,13.130592396619068,0.09372795194558114,0.3785217608873175
2016-01-01,8164884.0,1477643.0,725749.0,1198119.0,751894.0,801743.0,4.33,-94207.0,5229790.0,8001560.0,18.097538189152473,8.888662717069833,14.674048033015533,22.90950497056287,14.97356765430741,0.1351231414092966,0.1948391664879905
2017-01-01,8365413.0,1014818.0,298073.0,364146.0,716745.0,232222.0,1.23,157478.0,4801284.0,8082960.0,12.131116539016066,3.563159404084413,4.352994885010459,7.584346187394872,4.5051070399952495,0.02455993251098243,-0.6960685875109234
2018-01-01,7664551.0,615176.0,-75157.0,-298.0,690333.0,41862.0,0.34,-735036.0,4193994.0,7219069.0,8.026249678552599,-0.9805792929031328,-0.003888029448822247,-0.007105398815544324,-0.004127956111792255,-0.08378092032037154,-1.000818353078161
2019-01-01,6786263.0,308096.0,-389567.0,-340853.0,697663.0,-371943.0,-2.39,-795649.0,3779711.0,6475947.0,4.5399949869316885,-5.74052317158943,-5.022690691474822,-9.017964600997272,-5.263369202990697,-0.11459092646131519,1142.8020134228188
