"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1006.0","...","1007.0","2019-08-01 00:01","1004.8","2019-08-01 15:08","28.3","31.3","2019-08-01 12:35","25.5","2019-08-01 05:04","...","82","66","2019-08-01 08:30","2.7","130","10.0","127","2019-08-01 13:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1004.2","...","1005.8","2019-08-02 00:01","1002.9","2019-08-02 16:48","28.2","31.0","2019-08-02 10:05","25.2","2019-08-02 04:35","...","78","61","2019-08-02 10:05","2.4","45","7.5","62","2019-08-02 13:12","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1001.7","...","1003.8","2019-08-03 00:01","1000.2","2019-08-03 16:25","27.6","30.7","2019-08-03 13:45","23.8","2019-08-03 05:48","...","80","66","2019-08-03 10:08","2.8","225","7.9","66","2019-08-03 16:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1000.9","...","1002.0","2019-08-04 00:26","999.7","2019-08-04 15:36","28.6","31.8","2019-08-04 08:59","25.1","2019-08-04 05:02","...","82","56","2019-08-04 08:59","2.6","69","6.5","113","2019-08-04 12:32","9.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1001.2","...","1002.5","2019-08-05 21:06","999.8","2019-08-05 05:55","28.2","31.0","2019-08-05 13:06","25.9","2019-08-05 04:27","...","90","74","2019-08-05 08:32","2.8","75","8.5","74","2019-08-05 16:11","18.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1000.7","...","1002.0","2019-08-06 07:31","999.5","2019-08-06 14:41","27.9","30.7","2019-08-06 11:52","24.7","2019-08-07 00:00","...","85","67","2019-08-06 09:53","2.7","53","8.2","28","2019-08-06 14:31","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","996.8","...","1000.4","2019-08-07 00:20","994.1","2019-08-07 17:09","28.3","32.0","2019-08-07 09:48","23.5","2019-08-07 03:25","...","78","54","2019-08-07 08:54","3.9","34","13.8","13","2019-08-07 19:23","5.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","990.1","...","994.5","2019-08-08 00:02","987.4","2019-08-08 23:57","28.5","34.2","2019-08-08 13:57","25.6","2019-08-08 04:46","...","84","54","2019-08-08 11:31","3.1","215","17.9","20","2019-08-08 12:52","8.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","985.3","...","987.8","2019-08-09 22:47","983.8","2019-08-09 09:25","27.9","30.3","2019-08-09 15:28","25.4","2019-08-09 07:06","...","90","72","2019-08-09 14:32","1.5","224","7.1","208","2019-08-09 03:57","4.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","990.5","...","995.6","2019-08-10 22:20","986.5","2019-08-10 01:55","29.3","32.7","2019-08-10 09:19","26.7","2019-08-10 05:16","...","85","66","2019-08-10 09:32","2.6","230","9.1","116","2019-08-10 12:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","996.4","...","999.0","2019-08-11 20:30","994.4","2019-08-11 05:12","29.3","32.5","2019-08-11 11:35","25.9","2019-08-11 06:06","...","82","65","2019-08-11 08:53","2.1","213","7.1","136","2019-08-11 12:29","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","999.2","...","1000.9","2019-08-12 22:41","997.0","2019-08-12 05:07","28.7","31.6","2019-08-12 11:11","26.5","2019-08-12 04:48","...","85","68","2019-08-12 10:03","1.4","229","4.8","232","2019-08-12 01:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","999.5","...","1001.5","2019-08-13 23:03","997.9","2019-08-13 14:52","28.6","31.3","2019-08-13 09:41","25.6","2019-08-13 05:36","...","86","69","2019-08-13 09:26","2.3","102","6.2","78","2019-08-13 12:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","999.5","...","1001.0","2019-08-14 00:01","997.7","2019-08-14 15:47","29.0","31.4","2019-08-14 12:17","26.3","2019-08-14 04:25","...","82","64","2019-08-14 08:49","1.9","115","6.1","139","2019-08-14 13:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","998.7","...","999.8","2019-08-15 09:10","997.4","2019-08-15 15:48","28.5","31.5","2019-08-15 08:56","26.6","2019-08-15 05:39","...","86","69","2019-08-15 08:51","1.5","223","5.5","117","2019-08-15 11:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1000.2","...","1002.4","2019-08-16 23:54","998.3","2019-08-16 03:46","28.5","31.9","2019-08-16 13:50","25.8","2019-08-16 05:39","...","83","63","2019-08-16 13:52","1.9","142","7.8","143","2019-08-16 12:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1002.9","...","1004.4","2019-08-17 23:12","1001.4","2019-08-17 14:53","27.5","31.6","2019-08-17 11:52","25.4","2019-08-17 18:57","...","86","62","2019-08-17 11:33","2.7","123","9.2","116","2019-08-17 15:29","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1003.7","...","1005.5","2019-08-18 23:29","1002.1","2019-08-18 15:48","27.1","30.6","2019-08-18 09:50","24.4","2019-08-18 23:51","...","89","73","2019-08-18 09:12","2.0","222","7.9","40","2019-08-18 21:30","8.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
