,GR1777,GR0877,GR0177,GR9677,GR9277,GR8677
1,92,72,54,73,69,67
2,41,88,30,29,39,51
3,70,60,71,55,31,55
4,64,72,62,34,97,55
5,30,94,28,29,42,19
6,47,73,34,43,36,39
7,59,74,89,22,43,75
8,64,59,65,37,59,47
9,91,78,63,40,67,39
10,59,85,53,47,34,58
11,41,83,28,36,49,60
12,79,36,40,36,56,39
13,77,59,42,37,35,52
14,76,11,27,66,64,42
15,48,59,68,12,25,36
16,53,74,14,20,44,48
17,74,70,81,40,10,32
18,34,42,45,77,69,30
19,70,53,36,17,72,64
20,60,35,49,20,7,37
21,43,57,60,27,28,24
22,49,76,54,26,37,58
23,50,16,45,24,29,55
24,31,52,86,70,53,55
25,51,83,48,38,84,57
26,66,64,30,13,57,28
27,71,30,82,49,59,39
28,47,63,61,40,59,71
29,63,47,63,58,65,38
30,32,51,44,28,31,35
31,32,73,53,65,16,34
32,39,19,62,41,85,90
33,23,72,31,56,50,89
34,82,45,23,31,37,86
35,53,30,82,79,19,73
36,56,50,70,46,34,41
37,52,53,36,53,58,55
38,24,83,35,39,43,53
39,86,53,45,54,32,20
40,23,20,40,21,61,42
41,28,58,66,28,73,34
42,44,47,64,52,70,38
43,41,39,39,17,60,66
44,85,27,54,48,50,42
45,37,15,50,45,83,41
46,76,25,29,36,80,67
47,53,32,46,28,48,46
48,52,39,57,30,66,21
49,49,49,61,22,48,74
50,30,39,50,33,59,51
51,33,69,45,70,41,30
52,29,56,12,15,86,46
53,39,50,32,34,43,36
54,56,71,77,18,43,16
55,45,45,62,30,40,33
56,64,52,54,42,74,79
57,46,59,68,41,29,59
58,69,39,58,22,82,45
59,20,60,87,36,29,41
60,57,58,55,9,20,67
61,50,73,18,26,15,55
62,36,41,35,13,39,62
63,63,47,52,56,46,34
64,78,64,56,26,51,22
65,43,66,44,44,42,33
66,52,34,33,25,46,44
67,77,26,19,28,51,34
68,71,33,51,61,24,89
69,52,51,26,14,50,72
70,43,29,53,14,58,66
71,32,65,32,20,38,65
72,49,70,39,29,38,63
73,74,11,43,34,27,38
74,53,40,50,21,30,30
75,19,19,57,27,61,30
76,74,32,49,52,25,38
77,43,39,44,12,25,34
78,41,80,52,36,24,57
79,54,49,69,22,50,77
80,26,50,28,31,33,51
81,20,60,50,27,36,30
82,59,60,16,15,24,39
83,25,48,30,15,28,45
84,55,67,26,20,37,35
85,38,56,25,15,49,22
86,50,60,24,36,41,23
87,66,74,42,6,27,57
88,44,27,42,57,24,26
89,47,49,37,18,31,31
90,70,21,33,,29,40
91,25,60,41,25,23,30
92,55,67,45,15,39,20
93,70,21,42,26,28,41
94,24,12,29,28,31,14
95,22,51,42,23,22,31
96,34,17,13,28,16,23
97,52,20,20,11,9,17
98,22,49,72,39,19,46
99,48,40,20,44,21,25
100,21,67,72,51,63,36
